VPNr, Trial, band, XLoc, YLoc
999,4,6,228,146
999,4,6,236,236
999,5,4,231,17
999,5,4,22,44
999,5,5,8,126
999,5,5,320,178
999,5,5,200,249
999,5,5,38,262
999,5,5,42,149
999,5,5,55,162
999,5,5,2,221
999,5,6,326,265
999,5,6,379,146
999,5,6,105,30
999,5,6,196,169
999,5,6,293,24
999,5,6,255,149
999,5,6,66,271
999,5,6,227,127
999,5,6,362,189
999,5,6,174,242
999,5,6,205,160
999,5,6,262,106
999,5,6,92,167
999,5,6,333,118
999,5,6,44,128
999,5,6,116,116
999,5,6,321,117
999,5,6,150,104
999,5,6,54,75
999,5,6,34,124
999,5,6,99,86
999,5,6,164,35
999,5,6,191,204
999,5,6,94,227
999,5,6,29,114
999,5,6,2,64
999,5,6,1,55
999,5,6,55,78
999,5,6,68,40
999,5,6,230,260
999,5,6,361,64
999,5,6,186,109
999,5,6,202,77
999,6,3,94,45
999,6,4,368,270
999,6,4,315,210
999,6,4,68,104
999,6,5,73,1
999,6,5,122,202
999,6,5,241,157
999,6,5,169,83
999,6,5,193,220
999,6,5,293,166
999,6,6,288,186
999,6,6,48,146
999,6,6,134,27
999,6,6,57,58
999,6,6,259,125
999,6,6,267,74
999,6,6,4,154
999,6,6,108,273
999,6,6,349,114
999,6,6,10,194
999,6,6,322,280
999,6,6,22,130
999,6,6,224,198
999,6,6,277,188
999,6,6,280,108
999,6,6,224,34
999,6,6,23,283
999,6,6,110,172
999,6,6,370,54
999,6,6,75,99
999,6,6,359,113
999,6,6,105,44
999,6,6,153,108
999,6,6,51,126
999,6,6,36,178
999,6,6,5,166
999,6,6,304,68
999,6,6,173,164
999,6,6,24,143
999,6,6,247,64
999,6,6,322,280
999,7,4,35,242
999,7,5,225,274
999,7,5,24,169
999,7,5,110,239
999,7,5,74,128
999,7,5,152,239
999,7,5,260,60
999,7,5,123,39
999,7,6,258,165
999,7,6,66,43
999,7,6,183,262
999,7,6,213,10
999,7,6,21,232
999,7,6,174,111
999,7,6,304,105
999,7,6,205,205
999,7,6,335,95
999,7,6,250,281
999,7,6,30,170
999,7,6,159,90
999,7,6,102,219
999,7,6,383,54
999,7,6,300,57
999,7,6,382,232
999,7,6,163,210
999,7,6,192,233
999,7,6,137,22
999,7,6,227,263
999,7,6,75,125
999,7,6,288,12
999,7,6,364,220
999,7,6,215,53
999,7,6,192,150
999,7,6,382,247
999,7,6,370,196
999,7,6,155,270
999,7,6,185,67
999,7,6,153,204
999,7,6,215,218
999,7,6,383,278
999,7,6,206,278
999,7,6,45,15
999,7,6,117,168
999,7,6,204,260
999,8,3,1,9
999,8,4,81,132
999,8,5,49,3
999,8,5,280,102
999,8,5,300,126
999,8,5,168,15
999,8,5,20,27
999,8,5,229,70
999,8,5,324,247
999,8,5,371,141
999,8,6,85,66
999,8,6,207,220
999,8,6,134,133
999,8,6,246,265
999,8,6,63,207
999,8,6,222,125
999,8,6,340,114
999,8,6,69,183
999,8,6,240,95
999,8,6,309,288
999,8,6,377,37
999,8,6,90,7
999,8,6,234,32
999,8,6,157,255
999,8,6,211,107
999,8,6,81,127
999,8,6,368,36
999,8,6,181,247
999,8,6,17,200
999,8,6,376,82
999,8,6,52,198
999,8,6,350,176
999,8,6,346,56
999,8,6,290,100
999,8,6,161,45
999,8,6,315,180
999,8,6,284,232
999,8,6,26,274
999,8,6,192,218
999,8,6,286,240
999,8,6,61,132
999,8,6,238,269
999,8,6,321,258
999,8,6,224,168
999,8,6,329,11
999,8,6,341,118
999,8,6,14,215
999,9,1,288,157
999,9,4,130,240
999,9,5,213,276
999,9,5,343,103
999,9,5,210,100
999,9,5,240,230
999,9,5,287,37
999,9,5,316,8
999,9,5,160,211
999,9,5,301,106
999,9,5,287,257
999,9,5,94,38
999,9,6,87,101
999,9,6,111,268
999,9,6,20,171
999,9,6,63,242
999,9,6,65,145
999,9,6,384,103
999,9,6,19,62
999,9,6,153,97
999,9,6,89,270
999,9,6,263,278
999,9,6,169,271
999,9,6,3,176
999,9,6,308,68
999,9,6,359,220
999,9,6,318,166
999,9,6,305,95
999,9,6,86,90
999,9,6,225,240
999,9,6,112,116
999,9,6,332,178
999,9,6,381,59
999,9,6,318,195
999,9,6,96,138
999,9,6,154,173
999,9,6,308,31
999,9,6,316,243
999,9,6,137,124
999,9,6,220,202
999,9,6,286,219
999,9,6,150,124
999,9,6,368,166
999,9,6,327,80
999,9,6,239,170
999,9,6,370,25
999,9,6,193,151
999,9,6,35,261
999,9,6,340,127
999,9,6,301,43
999,10,4,120,66
999,10,4,251,20
999,10,4,106,82
999,10,5,338,128
999,10,5,291,174
999,10,5,301,33
999,10,5,376,245
999,10,5,20,135
999,10,5,126,182
999,10,5,89,168
999,10,6,232,173
999,10,6,173,11
999,10,6,198,118
999,10,6,42,133
999,10,6,174,159
999,10,6,310,202
999,10,6,335,16
999,10,6,85,133
999,10,6,369,228
999,10,6,174,97
999,10,6,23,214
999,10,6,195,58
999,10,6,165,49
999,10,6,289,107
999,10,6,362,5
999,10,6,319,181
999,10,6,207,188
999,10,6,280,28
999,10,6,337,5
999,10,6,114,52
999,10,6,356,20
999,10,6,224,184
999,10,6,251,250
999,10,6,22,236
999,10,6,204,200
999,10,6,82,157
999,10,6,270,276
999,10,6,171,25
999,10,6,23,182
999,10,6,306,200
999,10,6,133,273
999,10,6,200,275
999,10,6,29,60
999,10,6,298,264
999,10,6,301,86
999,10,6,59,245
999,10,6,302,78
999,10,6,88,93
999,10,6,319,237
999,10,6,220,165
999,10,6,110,202
999,10,6,306,128
999,10,6,172,135
